product_id|product_name|isin|ticker_yahoo_finance
sb45928|Canopy Growth BUX CFD|CA1380351009|CGC
sb45930|Aurora Cannabis BUX CFD|CA05156X1087|ACB
sb45931|ubisoft BUX CFD|FR0000054470|UBI.PA
sb45932|Nestle BUX CFD|CH0038863350|NESN.SW
sb45933|Tilray BUX CFD|US88688T1007|TLRY
sb46375|Peloton Interactive BUX CFD|US70614W1009|PTON
sb46377|Nordstrom BUX CFD|US6556641008|JWN
sb46378|Lululemon Athletica BUX CFD|US5500211090|LULU
sb46380|Foot Locker BUX CFD|US3448491049|FL
sb46381|Urban Outfitters BUX CFD|US9170471026|URBN
sb46382|PG&E Corp BUX CFD|US69331C1080|PCG
sb46383|Covestro BUX CFD|DE0006062144|1COV.DE
sb46384|CTS Eventim BUX CFD|DE0005470306|EVD.DE
sb46385|CaixaBank BUX CFD|ES0140609019|CABK.MC
sb46386|Siemens Gamesa BUX CFD|ES0143416115|SGRE.MC
sb46387|Aena BUX CFD|ES0105046009|AENA.MC
sb46389|Acerinox BUX CFD|ES0132105018|ACX.MC
sb46390|Endesa BUX CFD|ES0130670112|ELE.MC
sb46391|Ferrovial BUX CFD|ES0118900010|FER.MC
sb46392|Etsy BUX CFD|US29786A1060|ETSY
sb46393|Take-Two Interactive BUX CFD|US8740541094|TTWO
sb46394|Twilio BUX CFD|US90138F1021|TWLO
sb46395|Workday BUX CFD|US98138H1014|WDAY
sb46396|Splunk BUX CFD|US8486371045|SPLK
sb46397|Veeva Systems BUX CFD|US9224751084|VEEV
sb46398|Waste Management BUX CFD|US94106L1098|WM
sb46399|ServiceNow BUX CFD|US81762P1021|NOW
sb46434|Ballard Power Systems BUX CFD|CA0585861085|BLDP
sb46530|Zoom BUX CFD|US98980L1017|ZM
sb46692|Virgin Galactic BUX CFD|US92766K1060|SPCE
sb47337|Johnson & Johnson BUX CFD|US4781601046|JNJ
sb47338|Roche BUX CFD|CH0012032048|ROG.SW
sb47339|Abbott Labs BUX CFD|US0028241000|ABT
sb47340|Novartis BUX CFD|CH0012005267|NOVN.SW
sb47341|Sanofi BUX CFD|FR0000120578|SAN.PA
sb47450|Gilead Sciences BUX CFD|US3755581036|GILD
sb47530|Vornado BUX CFD|US9290421091|VNO
sb47531|Simon Property BUX CFD|US8288061091|SPG
sb47575|JDE Peet's BUX CFD|NL0014332678|JDEP.AS
sb47816|Lemonade BUX CFD|US52567D1072|LMND
sb48114|Delivery Hero BUX CFD|DE000A2E4K43|DHER.DE
sb48245|Unity BUX CFD|US91332U1016|U
sb48251|Palantir BUX CFD|US69608A1088|PLTR
sb48257|Snowflake BUX CFD|US8334451098|SNOW
sb48487|Airbnb BUX CFD|US0090661010|ABNB
sb48730|DoorDash BUX CFD|US25809K1051|DASH
sb48990|Bumble BUX CFD|US12047B1052|BMBL
sb49166|Deliveroo BUX CFD|GB00BNC5T391|ROO.L
sb49325|Coinbase BUX CFD|US19260Q1076|COIN
sb49432|Oatly BUX CFD|US67421J1088|OTLY
